2026-04-21T14:37:55.390305Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-21T14:38:07.967504Z DEBUG matrix_sdk_crypto::identities::manager: Finished handling of the `/keys/query` response request_id="6b9acc8ef425487fba31fcb109c21773" new_devices={"@aktau:mertis.kz": {"24201cxcg2", "2fFRSN56EQ", "36cVbvJbOz", "BWjaGLgBcL", "DhnVP1QJmW", "FYktHikyZL", "K8n2GhfVzf", "LNY5wGStRr", "MLKdvAB3Hy", "QBux8Po03W", "QsFyqwZl0e", "SQStUlyD4C", "W0zah3ACFg", "WN5rnQytvy", "WX3jZdbvMw", "WrU4iR5eBX", "bhuGIeFJqq", "hUtqHiSq37", "lDka92MiyF", "m53ntGqSgq", "oqQ12dvZfP", "orJyJGvfRq", "pqoil9GXqf", "qoh9d6Fdof", "rUMY78WsAx"}} changed_devices={} deleted_devices={} new_identities={"@aktau:mertis.kz"} changed_identities={} | crates/matrix-sdk-crypto/src/identities/manager.rs:1205 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"}
2026-04-21T14:38:07.968102Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-13" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2026-04-21T14:38:07.968929Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"} > update_state_after_keys_query > send{request_id="REQ-14" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-21T14:38:07.969882Z  INFO matrix_sdk::sliding_sync: Marking all tracked users as dirty | crates/matrix-sdk/src/sliding_sync/mod.rs:479 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"}
2026-04-21T14:38:07.970285Z  INFO elementx: AllRooms: Received state update: notLoaded | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:38:07.970401Z  INFO elementx: StaticAllRooms: Received state update: notLoaded | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:38:07.970508Z  INFO elementx: AlternateAllRooms: Received state update: notLoaded | RoomSummaryProvider.swift:105 | spans: root
2026-04-21T14:38:07.971776Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"  timeout=30000} > send{request_id="REQ-15" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="92B"}
2026-04-21T14:38:07.971826Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > sync_once{conn_id="room-list"  timeout=0} > send{request_id="REQ-16" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="647B"}
2026-04-21T14:38:07.972028Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-13" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata" status=200 response_size="2.6k" request_duration=3.8265ms}
2026-04-21T14:38:07.972158Z DEBUG matrix_sdk_crypto::session_manager::sessions: Collected user/device pairs that are missing an Olm session missing_session_devices_by_user={} timed_out_devices_by_user={} | crates/matrix-sdk-crypto/src/session_manager/sessions.rs:285 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > get_missing_sessions
2026-04-21T14:38:07.973623Z  INFO elementx: Received sync service update: running | ClientProxy.swift:1106 | spans: root
2026-04-21T14:38:07.973636Z ERROR matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard(StandardErrorBody { kind: NotFound, message: "Account data not found" }) }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"} > update_state_after_keys_query > send{request_id="REQ-14" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key" status=404 response_size="58B" request_duration=3.371375ms}
2026-04-21T14:38:07.973974Z  INFO matrix_sdk::encryption::recovery: Recovery state changed from Unknown to Disabled | crates/matrix-sdk/src/encryption/recovery/mod.rs:686 | spans: keys_query{request_id="6b9acc8ef425487fba31fcb109c21773"} > update_state_after_keys_query
2026-04-21T14:38:07.974363Z  INFO elementx: Recovery state changed to: disabled, setting local state to disabled | SecureBackupController.swift:80 | spans: root
2026-04-21T14:38:07.975419Z  INFO matrix_sdk::encryption::backups: Setting up secret listeners and trying to resume backups | crates/matrix-sdk/src/encryption/backups/mod.rs:752 | spans: root
2026-04-21T14:38:07.975632Z DEBUG matrix_sdk_crypto::identities::manager: Created a /keys/query request request_id="d1eb1bdbe47c4310b69b46a4f3b0e3a4" users=["@aktau:mertis.kz"] | crates/matrix-sdk-crypto/src/identities/manager.rs:877 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests
2026-04-21T14:38:07.975916Z  INFO matrix_sdk::encryption::recovery: Setting up account data listeners and trying to setup recovery | crates/matrix-sdk/src/encryption/recovery/mod.rs:610 | spans: root
2026-04-21T14:38:07.976326Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-17" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-21T14:38:07.976584Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_upload{request_id="597e6a8242a445f0a112f740550a7099"} > send{request_id="REQ-18" method=POST uri="https://matrix.mertis.kz/_matrix/client/v3/keys/upload" request_size="12.1k"}
2026-04-21T14:38:07.976720Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"  timeout=30000} > send_outgoing_requests > keys_query{request_id="d1eb1bdbe47c4310b69b46a4f3b0e3a4"} > send{request_id="REQ-19" method=POST uri="https://matrix.mertis.kz/_matrix/client/v3/keys/query" request_size="39B"}
2026-04-21T14:38:07.980414Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-20" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-21T14:38:07.981599Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption"  timeout=30000} > send{request_id="REQ-15" method=POST uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="92B" status=200 response_size="222B" request_duration=8.7765ms}
2026-04-21T14:38:07.983698Z  INFO elementx: Set up session for user @aktau:mertis.kz at: Data: /Users/aibattt/Library/Developer/CoreSimulator/Devices/183D9DAD-0CB6-49DE-ABFD-53BFA7B724CB/data/Containers/Shared/AppGroup/71965D2B-D443-4BFB-BFF2-C3FD0CFFF5BA/Library/Application Support/kz.salemx.msg/Sessions/38488D2C-5FE6-4066-8184-6C020A969615 Caches: /Users/aibattt/Library/Developer/CoreSimulator/Devices/183D9DAD-0CB6-49DE-ABFD-53BFA7B724CB/data/Containers/Shared/AppGroup/71965D2B-D443-4BFB-BFF2-C3FD0CFFF5BA/Library/Caches/kz.salemx.msg/Sessions/38488D2C-5FE6-4066-8184-6C020A969615 | UserSessionStore.swift:85 | spans: root
2026-04-21T14:38:07.994612Z  INFO elementx: Session security state changed, verificationState: unverified, recoveryState: disabled | UserSession.swift:48 | spans: root
2026-04-21T14:38:07.995957Z ERROR matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard(StandardErrorBody { kind: NotFound, message: "Account data not found" }) }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: root > send{request_id="REQ-17" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@aktau:mertis.kz/account_data/m.secret_storage.default_key" status=404 response_size="58B" request_duration=19.502041ms}
2026-04-21T14:38:07.997086Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-21" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
